nx	ny	datetime	s_wht	meanwdir	peak_fr	mean_fr	ustar	wind_dir	cdg	wind_speed	depth	maxwh	maxwp	swe_h	meansdir	meansfr	wsea_h	wsead	wsea_fr	msp1	msp2	mwseap1	mwseap2
486	718	2001-01-01 00:00:00	2.15	175.236	0.175	0.195	0.688	175.261	0	17.189	202	4.711	4.868	0.31	197.383	0.173	2.128	175.067	0.195	5.606	5.505	4.72	4.392
486	718	2001-01-01 01:00:00	2.72	177.231	0.171	0.179	0.901	175.261	0.003	17.189	202	5.926	5.262	0.29	205.07	0.169	2.7	177.149	0.179	5.37	4.91	5.129	4.756
486	718	2001-01-01 02:00:00	3.14	179.745	0.136	0.164	0.877	165.12	0.003	16.628	202	6.596	5.696	0.56	242.178	0.154	3.09	178.004	0.165	5.754	5.289	5.557	5.131
486	718	2001-01-01 03:00:00	3.36	181.23	0.135	0.156	0.865	165.12	0.003	16.628	202	7.175	6.003	0.61	239.665	0.137	3.305	179.48	0.156	6.578	6.085	5.855	5.406
486	718	2001-01-01 04:00:00	3.55	184.287	0.133	0.148	0.86	165.12	0.003	16.628	202	7.509	6.272	0.68	237.425	0.125	3.484	182.418	0.149	7.296	6.768	6.105	5.618
486	718	2001-01-01 05:00:00	3.74	187.906	0.126	0.141	0.852	164.727	0.003	16.513	202	7.861	6.558	0.83	235.42	0.116	3.646	185.567	0.142	8.008	7.498	6.357	5.821
486	718	2001-01-01 06:00:00	3.95	190.868	0.115	0.133	0.846	164.727	0.003	16.513	202	8.13	6.875	0.97	233.926	0.108	3.835	188.208	0.135	8.587	8.018	6.638	6.051
486	718	2001-01-01 07:00:00	4.18	192.204	0.11	0.127	0.83	164.727	0.003	16.513	202	8.621	7.195	1.16	230.989	0.1	4.014	189.016	0.13	9.228	8.602	6.915	6.304
486	718	2001-01-01 08:00:00	4.39	193.481	0.105	0.12	0.783	147.945	0.002	16.035	202	8.973	7.568	2.5	217.205	0.1	3.606	181.689	0.133	9.413	8.848	6.721	6.105
486	718	2001-01-01 09:00:00	4.56	195.113	0.092	0.114	0.768	147.945	0.002	16.035	202	9.114	7.97	2.87	215.834	0.096	3.548	181.031	0.13	9.956	9.476	6.836	6.184
486	718	2001-01-01 10:00:00	4.71	196.151	0.091	0.109	0.745	147.945	0.002	16.035	202	9.41	8.329	3.31	212.984	0.093	3.344	178.921	0.13	10.283	9.886	6.787	6.128
486	718	2001-01-01 11:00:00	5.07	195.982	0.089	0.105	0.985	157.639	0.002	19.95	202	10.133	8.57	2.14	223.872	0.084	4.593	189.887	0.111	11.324	10.79	7.955	7.172
486	718	2001-01-01 12:00:00	5.75	195.046	0.088	0.103	1.077	157.639	0.003	19.95	202	11.468	8.756	2.13	225.025	0.081	5.341	190.265	0.107	11.753	11.101	8.228	7.41
486	718	2001-01-01 13:00:00	6.38	195.078	0.086	0.098	1.062	157.639	0.003	19.95	202	12.839	9.195	2.46	224.333	0.078	5.889	189.967	0.103	12.078	11.375	8.65	7.828
486	718	2001-01-01 14:00:00	7.02	195.553	0.081	0.094	1.127	164.754	0.003	21.144	202	13.987	9.649	2.07	227.845	0.073	6.711	192.511	0.097	12.862	12.049	9.258	8.42
486	718	2001-01-01 15:00:00	7.54	195.887	0.079	0.091	1.128	164.754	0.003	21.144	202	15.001	9.981	2.33	226.978	0.072	7.169	192.633	0.094	13.084	12.225	9.569	8.713
486	718	2001-01-01 16:00:00	7.69	195.718	0.078	0.09	1.119	164.754	0.003	21.144	202	15.385	10.129	2.35	227.13	0.072	7.323	192.526	0.092	12.96	12.014	9.737	8.866
