nx	ny	datetime	u_m1ll	v_m1ll	aird_m1ll	p_m1ll	t_m1ll	q2_m1ll	u_m2ll	v_m2ll	aird_m2ll	p_m2ll	t_m2ll	q2_m2ll	u_m3ll	v_m3ll	aird_m3ll	p_m3ll	t_m3ll	q2_m3ll	u_m4ll	v_m4ll	aird_m4ll	p_m4ll	t_m4ll	q2_m4ll	u_m5ll	v_m5ll	aird_m5ll	p_m5ll	t_m5ll	q2_m5ll	smll
486	718	2001-01-01 00:00:00	-2.205	16.157	1.241	99604	278.54	2.637	-2.367	18.118	1.24	99129	277.81	2.479	-2.422	19.262	1.236	98657	277.35	2.348	-2.424	19.993	1.232	98191	276.93	2.257	-2.383	20.804	1.226	97494	276.33	2.156	1
486	718	2001-01-01 01:00:00	-2.205	16.157	1.241	99604	278.54	2.637	-2.367	18.118	1.24	99129	277.81	2.479	-2.422	19.262	1.236	98657	277.35	2.348	-2.424	19.993	1.232	98191	276.93	2.257	-2.383	20.804	1.226	97494	276.33	2.156	1
486	718	2001-01-01 02:00:00	-3.467	16.775	1.241	99552	278.42	3.012	-3.811	18.804	1.24	99109	277.62	2.756	-3.952	19.921	1.237	98639	277.14	2.575	-4.007	20.609	1.233	98172	276.72	2.464	-4.025	21.357	1.227	97475	276.11	2.352	1
486	718	2001-01-01 03:00:00	-4.27	16.069	1.24	99362	278.34	2.814	-4.709	18.03	1.24	99004	277.53	2.617	-4.907	19.12	1.236	98535	277.05	2.496	-5.003	19.806	1.232	98069	276.63	2.431	-5.072	20.568	1.226	97373	276.01	2.377	1
486	718	2001-01-01 04:00:00	-4.171	16.229	1.237	99319	278.54	2.857	-4.609	18.221	1.238	98885	277.8	2.679	-4.819	19.335	1.234	98416	277.34	2.575	-4.927	20.041	1.23	97950	276.92	2.527	-5.018	20.834	1.224	97255	276.32	2.504	1
486	718	2001-01-01 05:00:00	-4.221	15.919	1.234	99220	278.72	2.718	-4.649	17.901	1.235	98745	278.09	2.578	-4.849	19.018	1.231	98275	277.65	2.507	-4.948	19.736	1.227	97811	277.25	2.486	-5.023	20.555	1.221	97116	276.66	2.504	1
486	718	2001-01-01 06:00:00	-4.35	15.929	1.233	99049	278.85	2.729	-4.768	17.968	1.233	98673	278.27	2.625	-4.962	19.114	1.229	98206	277.84	2.601	-5.051	19.858	1.225	97742	277.45	2.623	-5.109	20.714	1.219	97048	276.86	2.705	1
486	718	2001-01-01 07:00:00	-4.28	17.946	1.231	99073	278.79	3.612	-4.77	20.264	1.232	98579	278.08	3.53	-5.01	21.526	1.228	98110	277.6	3.536	-5.139	22.274	1.224	97646	277.16	3.581	-5.259	23.027	1.219	96953	276.52	3.698	1
486	718	2001-01-01 08:00:00	-5.517	17.494	1.233	99008	277.69	3.678	-6.178	19.467	1.236	98561	276.58	3.295	-6.454	20.368	1.233	98093	276.04	3.004	-6.593	20.82	1.229	97629	275.59	2.902	-6.709	21.19	1.223	96937	274.94	2.992	1
486	718	2001-01-01 09:00:00	-8.505	13.59	1.237	98892	276.67	2.693	-9.216	14.96	1.241	98458	275.53	2.32	-9.519	15.562	1.237	97991	275.02	2.169	-9.658	15.872	1.234	97527	274.58	2.161	-9.779	16.188	1.228	96835	273.97	2.169	1
486	718	2001-01-01 10:00:00	-8.613	13.692	1.238	98787	276.47	2.753	-9.319	15.158	1.242	98369	275.29	2.443	-9.623	15.807	1.238	97902	274.77	2.359	-9.767	16.159	1.234	97439	274.34	2.386	-9.907	16.587	1.228	96748	273.73	2.447	1
486	718	2001-01-01 11:00:00	-8.289	15.387	1.234	98655	276.78	3.324	-9.032	17.063	1.239	98224	275.5	2.946	-9.352	17.821	1.236	97758	274.96	2.779	-9.501	18.218	1.232	97295	274.51	2.746	-9.635	18.655	1.226	96605	273.89	2.709	1
486	718	2001-01-01 12:00:00	-7.591	18.448	1.23	98562	277.42	4.539	-8.356	20.718	1.235	98130	276.26	4.114	-8.706	21.841	1.232	97664	275.72	3.856	-8.876	22.484	1.228	97202	275.26	3.736	-9.01	23.115	1.222	96513	274.63	3.67	1
486	718	2001-01-01 13:00:00	-6.983	20.011	1.227	98531	277.88	5.245	-7.738	22.566	1.231	98060	276.84	4.736	-8.096	23.907	1.228	97594	276.31	4.388	-8.273	24.701	1.224	97132	275.86	4.186	-8.415	25.521	1.219	96443	275.23	4.012	1
486	718	2001-01-01 14:00:00	-6.124	20.42	1.225	98482	278.1	5.309	-6.815	23.031	1.23	98039	277.13	4.776	-7.145	24.433	1.226	97573	276.61	4.399	-7.312	25.267	1.222	97112	276.16	4.164	-7.445	26.131	1.217	96423	275.53	3.935	1
486	718	2001-01-01 15:00:00	-5.564	20.404	1.223	98436	278.31	5.185	-6.192	23.009	1.228	97980	277.43	4.657	-6.498	24.426	1.224	97514	276.93	4.268	-6.653	25.273	1.22	97053	276.49	4.018	-6.78	26.158	1.215	96365	275.87	3.761	1
486	718	2001-01-01 16:00:00	-5.102	20.295	1.222	98425	278.52	5.032	-5.68	22.87	1.226	97970	277.72	4.562	-5.971	24.277	1.223	97505	277.23	4.204	-6.123	25.119	1.219	97044	276.81	3.962	-6.251	25.995	1.213	96355	276.19	3.698	1
486	718	2001-01-01 17:00:00	-4.466	19.856	1.221	98411	278.71	4.673	-4.988	22.346	1.225	97952	277.99	4.251	-5.261	23.753	1.221	97486	277.53	3.91	-5.408	24.607	1.217	97025	277.11	3.672	-5.539	25.506	1.212	96337	276.5	3.401	1
486	718	2001-01-01 18:00:00	-3.715	19.511	1.221	98449	278.75	4.368	-4.153	22.017	1.224	97974	278.03	3.985	-4.388	23.437	1.221	97508	277.55	3.676	-4.517	24.301	1.217	97047	277.12	3.458	-4.632	25.2	1.211	96358	276.51	3.202	1
486	718	2001-01-01 19:00:00	-2.952	17.89	1.223	98518	278.58	3.501	-3.313	20.179	1.227	98047	277.81	3.25	-3.517	21.481	1.223	97581	277.33	3.122	-3.64	22.283	1.22	97120	276.88	3.06	-3.764	23.12	1.214	96431	276.24	3.03	1
486	718	2001-01-01 20:00:00	-2.763	16.481	1.221	98496	279.03	2.797	-3.118	18.638	1.224	98035	278.45	2.636	-3.31	19.887	1.22	97570	278.02	2.5	-3.429	20.695	1.216	97108	277.61	2.404	-3.553	21.612	1.21	96419	277.02	2.298	1
486	718	2001-01-01 21:00:00	-2.427	16.527	1.221	98471	279.03	2.802	-2.726	18.689	1.223	98008	278.45	2.474	-2.893	19.906	1.22	97543	278.02	2.191	-2.998	20.678	1.216	97081	277.61	1.989	-3.111	21.545	1.21	96393	277.03	1.76	1
486	718	2001-01-01 22:00:00	-1.751	15.376	1.222	98506	278.95	2.307	-2.017	17.377	1.224	98032	278.42	2.017	-2.159	18.473	1.22	97566	278	1.742	-2.257	19.162	1.216	97104	277.61	1.537	-2.381	19.934	1.21	96415	277.03	1.296	1
486	718	2001-01-01 23:00:00	-1.527	13.842	1.222	98519	278.95	1.77	-1.775	15.717	1.224	98062	278.43	1.506	-1.914	16.715	1.22	97596	278.01	1.27	-2.017	17.346	1.216	97135	277.62	1.094	-2.157	18.068	1.21	96446	277.05	0.883	1
486	718	2001-01-02 00:00:00	-1.884	12.7	1.222	98521	279.02	1.445	-2.159	14.343	1.224	98058	278.53	1.183	-2.313	15.15	1.22	97592	278.12	0.977	-2.422	15.645	1.216	97130	277.73	0.842	-2.574	16.219	1.21	96441	277.17	0.699	1
486	718	2001-01-02 01:00:00	-2.313	11.884	1.222	98545	279.13	1.247	-2.608	13.399	1.224	98076	278.66	1.021	-2.775	14.141	1.22	97610	278.25	0.837	-2.89	14.601	1.216	97148	277.87	0.718	-3.048	15.158	1.21	96459	277.32	0.603	1
486	718	2001-01-02 02:00:00	-2.519	11.406	1.222	98570	279.21	1.138	-2.809	12.803	1.223	98102	278.75	0.941	-2.987	13.54	1.22	97636	278.36	0.777	-3.108	14.007	1.216	97174	277.98	0.674	-3.269	14.586	1.209	96484	277.43	0.579	1
486	718	2001-01-02 03:00:00	-2.507	11.197	1.222	98587	279.24	1.088	-2.778	12.577	1.223	98124	278.79	0.911	-2.951	13.307	1.22	97658	278.39	0.76	-3.067	13.771	1.216	97196	278.01	0.66	-3.213	14.328	1.209	96507	277.46	0.559	1
486	718	2001-01-02 04:00:00	-2.619	11.096	1.223	98641	279.24	1.071	-2.878	12.433	1.224	98171	278.8	0.898	-3.049	13.148	1.22	97704	278.4	0.751	-3.159	13.599	1.216	97242	278.02	0.652	-3.289	14.126	1.21	96552	277.46	0.543	1
486	718	2001-01-02 05:00:00	-3.146	11.286	1.223	98636	279.18	1.148	-3.437	12.536	1.224	98174	278.72	0.997	-3.618	13.191	1.221	97707	278.32	0.867	-3.726	13.592	1.217	97245	277.94	0.785	-3.839	14.042	1.21	96555	277.37	0.704	1
